participant_id,recruiter_id,status,is_debug,app_version,assignment_source,arm,order,pairing,brand_neutral,brand_experimental,started_at,submitted_at,received_at,duration_s,device,viewport,dpr,touch,abandoned,abandoned_at_step,resumed_after_reload,neutral_condition,neutral_brand,neutral_block_position,neutral_decline_label,neutral_choice,neutral_response_code,neutral_latency_ms,neutral_time_to_first_touch_ms,neutral_cancelled_taps,neutral_pointer_cancels,neutral_press_dwell_ms,neutral_post_dismiss_dwell_ms,neutral_continuation_auto_advanced,neutral_scroll_events,neutral_rage_taps,neutral_popup_render_gap_ms,neutral_product_viewed,neutral_time_on_store_ms,neutral_b1_guilt,neutral_b2_irritation,neutral_b3_manipulation,neutral_b4_trust,neutral_b5_raw,neutral_b5_ord,neutral_b6_open,exp_condition,exp_brand,exp_block_position,exp_decline_label,exp_choice,exp_response_code,exp_latency_ms,exp_time_to_first_touch_ms,exp_cancelled_taps,exp_pointer_cancels,exp_press_dwell_ms,exp_post_dismiss_dwell_ms,exp_continuation_auto_advanced,exp_scroll_events,exp_rage_taps,exp_popup_render_gap_ms,exp_product_viewed,exp_time_on_store_ms,exp_b1_guilt,exp_b2_irritation,exp_b3_manipulation,exp_b4_trust,exp_b5_raw,exp_b5_ord,exp_b6_open,diff_b1_guilt,diff_b2_irritation,diff_b3_manipulation,diff_b4_trust,diff_b5,aware_brand1_raw,aware_brand2_raw,aware_neutral_correct,aware_exp_correct,c1_raw,c2_raw,c3_raw,c4_raw,c5_raw,c6_open,c1_exp_more_manipulative,c2_trust_exp_more,c3_recoded,c4_choose_exp,c5_recoded,popup_freq,dp_awareness,shopping_freq,age_band,gender,occupation,event_log_json
sim-011,2,complete,FALSE,sim,group_code,autonomy,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-15T11:10:00.000Z,2026-09-15T11:10:00.000Z,,343.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,backdrop,ignore,1141.6,513.7,0,0,134,2079,FALSE,5,0,180,bottle_tall,33146,2,2,2,4,compare,2,,autonomy,Aurevella,1,Not now — I’ll decide later,accept,comply,1439.6,647.8,0,3,97,3430,FALSE,8,0,203,bottle_tall,21398,2,3,3,4,compare,2,,0,1,1,0,0,neutral,autonomy,FALSE,FALSE,veloure,aurevella,2,veloure,2,The second one felt more pushy than the first.,FALSE,TRUE,2,FALSE,2,3,yes,4,25_34,prefer_not,student,"[{""t"":0,""type"":""consent_accepted""}]"
sim-012,3,complete,FALSE,sim,group_code,autonomy,exp_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-15T12:17:00.000Z,2026-09-15T12:17:00.000Z,,455.3,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,2,No thanks,decline_button,ignore,1171.9,527.3,0,2,106,5301,FALSE,13,0,117,bottle_tall,31372,4,3,3,5,avoid,0,"Felt a bit pushy, so I closed it.",autonomy,Maison Veloure,1,Not now — I’ll decide later,backdrop,avoid,2912,1310.4,0,3,70,4165,FALSE,6,0,263,bottle_tall,35688,3,3,3,4,compare,2,,-1,0,0,-1,2,dont_remember,autonomy,FALSE,FALSE,aurevella,veloure,4,veloure,4,,FALSE,TRUE,4,TRUE,4,3,no,4,25_34,man,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-013,2,complete,FALSE,sim,group_code,strong,exp_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-15T13:24:00.000Z,2026-09-15T13:24:00.000Z,,336.3,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,2,No thanks,decline_button,ignore,1096.4,493.4,1,0,150,4132,FALSE,2,0,147,bottle_tall,20372,1,1,1,4,buy,3,,strong,Maison Veloure,1,"No thanks, I don’t need to save money",decline_button,ignore,1347.2,606.3,0,2,211,3465,FALSE,19,0,206,bottle_tall,44581,1,2,3,3,competitor,1,,0,1,2,-1,-2,neutral,strong,FALSE,FALSE,veloure,aurevella,2,aurevella,2,,TRUE,FALSE,2,FALSE,2,5,not_sure,2,18_24,woman,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-014,4,complete,FALSE,sim,group_code,autonomy,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-15T14:31:00.000Z,2026-09-15T14:31:00.000Z,,383.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,accept,comply,2571.2,1157,0,0,159,3761,FALSE,6,0,272,bottle_tall,23145,3,3,3,6,buy,3,"Felt a bit pushy, so I closed it.",autonomy,Aurevella,1,Not now — I’ll decide later,decline_button,resist,2876.4,1294.4,0,1,107,3554,FALSE,6,0,283,bottle_tall,14452,2,3,3,5,buy,3,,-1,0,0,-1,0,dont_remember,dont_remember,FALSE,FALSE,aurevella,aurevella,2,aurevella,2,,TRUE,TRUE,2,TRUE,2,5,no,3,18_24,man,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-015,1,complete,FALSE,sim,group_code,autonomy,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-15T15:38:00.000Z,2026-09-15T15:38:00.000Z,,442.7,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,accept,comply,1063,478.3,0,0,134,806,FALSE,3,0,201,bottle_tall,23762,2,3,2,5,avoid,0,"Felt a bit pushy, so I closed it.",autonomy,Aurevella,1,Not now — I’ll decide later,decline_button,resist,1858.7,836.4,0,1,155,2616,TRUE,14,0,116,bottle_tall,4000,3,1,3,4,compare,2,,1,-2,1,-1,2,neutral,autonomy,FALSE,FALSE,both,aurevella,3,aurevella,3,,FALSE,TRUE,3,TRUE,3,5,no,2,25_34,man,student,"[{""t"":0,""type"":""consent_accepted""}]"
sim-016,2,complete,FALSE,sim,group_code,mild,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-15T16:45:00.000Z,2026-09-15T16:45:00.000Z,,333.2,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,decline_button,resist,3937,1771.6,1,1,180,3344,FALSE,12,0,156,bottle_tall,22726,1,2,3,4,avoid,0,,mild,Aurevella,2,"No thanks, I’ll pay full price",decline_button,resist,2244.8,1010.1,0,1,234,2663,FALSE,11,0,69,bottle_tall,14722,3,3,4,3,avoid,0,,2,1,1,-1,0,neutral,mild,TRUE,TRUE,veloure,veloure,4,veloure,3,,FALSE,FALSE,4,FALSE,5,5,no,4,35_44,prefer_not,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-017,3,complete,FALSE,sim,group_code,autonomy,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-16T09:52:00.000Z,2026-09-16T09:52:00.000Z,,356.7,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,decline_button,resist,2901.1,1305.5,0,0,124,7399,FALSE,15,0,125,bottle_tall,25000,4,3,1,5,not_sure,,"Felt a bit pushy, so I closed it.",autonomy,Aurevella,1,Not now — I’ll decide later,close_x,ignore,1024.1,460.8,0,0,90,3311,FALSE,7,0,119,bottle_tall,12486,3,3,2,5,compare,2,"Felt a bit pushy, so I closed it.",-1,0,1,0,,dont_remember,dont_remember,FALSE,FALSE,both,veloure,2,aurevella,2,The second one felt more pushy than the first.,FALSE,FALSE,2,TRUE,2,3,no,5,35_44,man,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-018,2,complete,FALSE,sim,group_code,mild,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-16T10:59:00.000Z,2026-09-16T10:59:00.000Z,,301.6,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,decline_button,resist,2527,1137.2,0,2,140,521,TRUE,9,0,150,bottle_tall,48438,2,3,2,4,not_sure,,,mild,Aurevella,2,"No thanks, I’ll pay full price",accept,comply,964.6,434.1,0,3,135,3287,FALSE,11,0,225,bottle_tall,21040,3,3,3,4,buy,3,"Felt a bit pushy, so I closed it.",1,0,1,0,,neutral,mild,TRUE,TRUE,aurevella,aurevella,5,aurevella,5,,TRUE,TRUE,3,TRUE,3,3,yes,3,25_34,prefer_not,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-019,3,complete,FALSE,sim,group_code,strong,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-16T11:06:00.000Z,2026-09-16T11:06:00.000Z,,370.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,close_x,avoid,2678.8,1205.5,0,1,118,3143,FALSE,15,0,137,bottle_tall,22213,2,2,3,4,avoid,0,"Felt a bit pushy, so I closed it.",strong,Aurevella,2,"No thanks, I don’t need to save money",close_x,avoid,2628.2,1182.7,1,0,194,1669,TRUE,17,0,259,bottle_tall,13142,2,3,5,2,competitor,1,"Felt a bit pushy, so I closed it.",0,1,2,-2,1,dont_remember,strong,FALSE,TRUE,aurevella,veloure,5,veloure,5,,TRUE,FALSE,3,FALSE,3,4,no,5,25_34,woman,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-020,1,complete,FALSE,sim,group_code,mild,exp_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-16T12:13:00.000Z,2026-09-16T12:13:00.000Z,,350.1,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,2,No thanks,decline_button,ignore,514.9,231.7,0,0,158,5104,FALSE,5,0,268,bottle_tall,10526,2,3,2,5,avoid,0,"Felt a bit pushy, so I closed it.",mild,Maison Veloure,1,"No thanks, I’ll pay full price",accept,comply,1396.4,628.4,0,2,256,3193,FALSE,3,0,222,bottle_tall,22113,4,3,3,6,buy,3,"Felt a bit pushy, so I closed it.",2,0,1,1,3,neutral,mild,FALSE,FALSE,veloure,aurevella,3,compare_further,2,,TRUE,FALSE,3,FALSE,2,4,not_sure,4,25_34,woman,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-021,2,complete,FALSE,sim,group_code,strong,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-16T13:20:00.000Z,2026-09-16T13:20:00.000Z,,307.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,close_x,avoid,3168.8,1426,1,1,104,2593,FALSE,19,0,280,bottle_tall,20650,4,4,3,5,avoid,0,,strong,Aurevella,2,"No thanks, I don’t need to save money",backdrop,avoid,4397.9,1979.1,0,2,132,4396,FALSE,15,0,330,bottle_tall,32065,3,5,6,4,compare,2,,-1,1,3,-1,2,neutral,strong,TRUE,TRUE,aurevella,veloure,4,veloure,6,The second one felt more pushy than the first.,TRUE,FALSE,4,FALSE,2,1,no,3,25_34,woman,student,"[{""t"":0,""type"":""consent_accepted""}]"
sim-022,1,complete,FALSE,sim,group_code,mild,exp_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-16T14:27:00.000Z,2026-09-16T14:27:00.000Z,,274.3,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,2,No thanks,decline_button,ignore,1273,572.9,0,2,182,3044,FALSE,14,0,170,bottle_tall,15593,3,3,2,4,avoid,0,"Felt a bit pushy, so I closed it.",mild,Maison Veloure,1,"No thanks, I’ll pay full price",accept,comply,2728.7,1227.9,0,0,196,3234,FALSE,13,1,182,bottle_tall,27508,3,3,5,4,avoid,0,"Felt a bit pushy, so I closed it.",0,0,3,0,0,dont_remember,dont_remember,FALSE,FALSE,veloure,veloure,4,compare_further,3,,TRUE,TRUE,4,FALSE,3,3,no,3,25_34,prefer_not,student,"[{""t"":0,""type"":""consent_accepted""}]"
sim-023,4,complete,FALSE,sim,group_code,mild,neutral_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-16T15:34:00.000Z,2026-09-16T15:34:00.000Z,,224.9,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,1,No thanks,decline_button,resist,1601.8,720.8,0,0,117,2857,FALSE,16,0,289,bottle_tall,25545,2,3,3,5,avoid,0,,mild,Maison Veloure,2,"No thanks, I’ll pay full price",decline_button,resist,2483.9,1117.7,0,1,124,4929,FALSE,2,0,206,bottle_tall,16125,3,4,3,4,compare,2,"Felt a bit pushy, so I closed it.",1,1,0,-1,2,neutral,mild,TRUE,TRUE,aurevella,veloure,6,aurevella,6,The second one felt more pushy than the first.,FALSE,TRUE,2,FALSE,2,5,not_sure,4,18_24,man,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-024,4,complete,FALSE,sim,group_code,strong,neutral_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-16T16:41:00.000Z,2026-09-16T16:41:00.000Z,,382.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,1,No thanks,close_x,avoid,1844,829.8,0,1,89,2609,FALSE,15,0,306,bottle_tall,36010,3,2,2,5,buy,3,,strong,Maison Veloure,2,"No thanks, I don’t need to save money",close_x,avoid,1993.1,896.9,0,2,120,6360,TRUE,11,0,240,bottle_tall,9518,3,5,5,4,compare,2,"Felt a bit pushy, so I closed it.",0,3,3,-1,-1,neutral,strong,TRUE,TRUE,veloure,aurevella,5,compare_further,5,,TRUE,FALSE,3,FALSE,3,3,yes,2,18_24,prefer_not,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-025,3,complete,FALSE,sim,group_code,strong,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-17T09:48:00.000Z,2026-09-17T09:48:00.000Z,,464,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,decline_button,resist,2273.9,1023.3,1,2,117,4582,FALSE,12,0,181,bottle_tall,8782,2,2,3,4,buy,3,"Felt a bit pushy, so I closed it.",strong,Aurevella,2,"No thanks, I don’t need to save money",decline_button,resist,2363.1,1063.4,0,0,125,4311,FALSE,13,0,194,bottle_tall,14717,4,4,4,4,buy,3,"Felt a bit pushy, so I closed it.",2,2,1,0,0,neutral,dont_remember,TRUE,FALSE,aurevella,veloure,4,aurevella,3,The second one felt more pushy than the first.,TRUE,FALSE,4,TRUE,5,4,no,4,18_24,prefer_not,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-026,2,complete,FALSE,sim,group_code,mild,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-17T10:55:00.000Z,2026-09-17T10:55:00.000Z,,259.2,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,accept,comply,2751,1237.9,0,2,197,2561,FALSE,7,0,144,bottle_tall,31236,3,3,2,5,compare,2,"Felt a bit pushy, so I closed it.",mild,Aurevella,2,"No thanks, I’ll pay full price",backdrop,avoid,2408,1083.6,0,3,122,2478,FALSE,18,0,187,bottle_tall,16348,3,3,4,4,avoid,0,"Felt a bit pushy, so I closed it.",0,0,2,-1,-2,neutral,mild,TRUE,TRUE,veloure,veloure,5,aurevella,5,,FALSE,FALSE,3,TRUE,3,3,no,2,25_34,man,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-027,3,complete,FALSE,sim,group_code,mild,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-17T11:02:00.000Z,2026-09-17T11:02:00.000Z,,361.3,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,decline_button,resist,2621.6,1179.7,0,2,175,1099,FALSE,15,0,213,bottle_tall,26346,4,2,2,4,avoid,0,,mild,Aurevella,2,"No thanks, I’ll pay full price",decline_button,resist,3973.2,1787.9,0,3,45,5499,FALSE,2,0,235,bottle_tall,39687,4,4,4,5,buy,3,,0,2,2,1,3,neutral,mild,TRUE,TRUE,veloure,aurevella,5,veloure,5,The second one felt more pushy than the first.,FALSE,TRUE,3,FALSE,3,5,no,3,18_24,prefer_not,student,"[{""t"":0,""type"":""consent_accepted""}]"
sim-028,2,complete,FALSE,sim,group_code,autonomy,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-17T12:09:00.000Z,2026-09-17T12:09:00.000Z,,299.9,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,decline_button,resist,3136.3,1411.3,0,0,103,1384,TRUE,2,0,96,bottle_tall,4559,1,2,3,3,avoid,0,"Felt a bit pushy, so I closed it.",autonomy,Aurevella,2,Not now — I’ll decide later,close_x,avoid,2886.3,1298.8,1,0,97,4869,TRUE,15,0,259,bottle_tall,11584,2,2,3,5,buy,3,,1,0,0,2,3,neutral,dont_remember,TRUE,FALSE,both,aurevella,6,aurevella,6,,FALSE,TRUE,2,TRUE,2,3,not_sure,2,25_34,man,working,"[{""t"":0,""type"":""consent_accepted""}]"
